시도,시군구,사물명,관리부서,사물주소,시설형태,위도,경도
대전광역시,중구,희영빌딩,운송주차과,대전광역시 중구 계룡로 825 ,표지판형,36.3266934,127.4077679
대전광역시,중구,하우스토리1차,운송주차과,대전광역시 중구 계룡로 925 ,표지판형,36.3252092,127.4087471
대전광역시,중구,다이소,운송주차과,대전광역시 중구 계백로 1693 ,표지판형,36.3213809,127.4076189
대전광역시,중구,서대전네거리역 4번출구,운송주차과,대전광역시 중구 계룡로 878,표지판형,36.3230683,127.4112028
대전광역시,중구,서대전네거리역 5번출구,운송주차과,대전광역시 중구 계룡로 875,표지판형,36.3236335,127.4119639
대전광역시,중구,한사랑아파트,운송주차과,대전광역시 중구 계백로 1619,표지판형,36.3192804,127.3997913
대전광역시,중구,계룡의료기,운송주차과,대전광역시 중구 계백로 1583 ,표지판형,36.3182798,127.3959808
대전광역시,중구,유천시장,운송주차과,대전광역시 중구 계백로 1580,표지판형,36.3176896,127.3956533
대전광역시,중구,우성아파트 111동,운송주차과,대전광역시 중구 서문로 32,표지판형,36.3114966,127.4093213
대전광역시,서구,대전예술의전당 버스정류장 근처,운송주차과,대전광역시 서구 둔산대로 155,표지판형,36.3679309,127.3877917
대전광역시,서구,산업은행,운송주차과,대전광역시 서구 둔산서로 131 ,표지판형,36.3539864,127.3827309
대전광역시,서구,정부청사 남쪽2,운송주차과,대전광역시 서구 청사로 166 맞은편,표지판형,36.35944569999999,127.3821046
대전광역시,서구,정부청사 남쪽 1,운송주차과,대전광역시 서구 청사로 199 ,표지판형,36.3602829,127.3818497
대전광역시,서구,서구 둔산동 917,운송주차과,대전광역시 서구 청사로 220 ,표지판형,36.3594238,127.3881318
대전광역시,서구,둥지아파트 입구/상가,운송주차과,대전광역시 서구 청사로 252 ,표지판형,36.3602829,127.3818497
대전광역시,서구,수정타운A 상가,운송주차과,대전광역시 서구 문정로 282,표지판형,36.3503602,127.3902273
대전광역시,서구,국화아파트,운송주차과,대전광역시 서구 둔산로201,표지판형,36.35395330000001,127.3974348
대전광역시,서구,둔산우체국 맞은편,운송주차과,대전광역시 서구 시청역 5번출구쪽,표지판형,36.339187,127.392454
대전광역시,서구,탄방역 2번출구,운송주차과,대전광역시 서구 문정로48번길 24 ,표지판형,36.3449499,127.3842533
대전광역시,서구,탄방주민센터,운송주차과,대전광역시 서구 문정로 130 ,표지판형,36.3464719,127.3936328
대전광역시,서구,남선공원종합체육관 입구,운송주차과,대전광역시 서구 둔산남로 184 ,표지판형,36.3487594,127.3978269
대전광역시,서구,서구 탄방동 78-26,운송주차과,대전광역시 서구 도산로 397 ,표지판형,36.3393092,127.3940368
대전광역시,서구,서구 용문동 243-15,운송주차과,대전광역시 서구 도산로 398 ,표지판형,36.3389979,127.3945027
대전광역시,서구,행정복지센터,운송주차과,대전광역시 서구 계룡로 668 ,표지판형,36.3366013,127.3946953
대전광역시,서구,무지개A,운송주차과,대전광역시 서구 도산로 374 ,표지판형,36.3374631,127.3927066
대전광역시,서구,맑은아침아파트,운송주차과,대전광역시 서구 갈마로 246,표지판형,36.333215,127.3810129
대전광역시,서구,KT연수원,운송주차과,대전광역시 서구 갈마로 166 ,표지판형,36.3401239,127.3763925
대전광역시,서구,서우아파트 2단지,운송주차과,대전광역시 서구 동서대로 992 ,표지판형,36.3315227,127.3663352
대전광역시,서구,경남아파트,운송주차과,대전광역시 서구 배재로 149 ,표지판형,36.3221056,127.3697181
대전광역시,서구,도마시장입구 맞은편,운송주차과,대전광역시 서구 계백로 1474 ,표지판형,36.3007078,127.3438106
대전광역시,서구,도마시장 입구,운송주차과,대전광역시 서구 계백로 1467 ,표지판형,36.3149478,127.3835875
대전광역시,서구,대일의류도매백화점 맞은편,운송주차과,대전광역시 서구 계백로 1454 ,표지판형,36.3007078,127.3438106
대전광역시,서구,은아아파트 3단지,운송주차과,대전광역시 서구 계백로 1140 ,표지판형,36.3007078,127.3438106
대전광역시,서구,국민은행 인근,운송주차과,대전광역시 서구 관저중로 92 ,표지판형,36.3003206,127.3351994
대전광역시,유성구,반석역 5번 출구,운송주차과,대전광역시 유성구 북유성대로 310 ,표지판형,36.3901868,127.3156001
대전광역시,유성구,노은역 2번 출구,운송주차과,대전광역시 유성구 노은로 165 ,표지판형,36.37835,127.3261127
대전광역시,유성구,구암역 2번 출구,운송주차과,대전광역시 유성구 유성대로 698 ,표지판형,36.3618968,127.353097
대전광역시,유성구,유성금호고속버스터미널,운송주차과,대전광역시 유성구 장대로 52 ,표지판형,36.3602425,127.3351314
대전광역시,유성구,유성호텔,운송주차과,대전광역시 유성구 온천서로 17 ,표지판형,36.3578978,127.3399162
대전광역시,유성구,유성온천역 1번 출구,운송주차과,대전광역시 유성구 계룡로 114,표지판형,36.3526702,127.3429771
대전광역시,유성구,롯데리아 맞은편,운송주차과,대전광역시 유성구 신성남로 48 ,표지판형,36.3895865,127.3508062
대전광역시,유성구,도룡스포츠센터,운송주차과,대전광역시 유성구 대덕대로 579 ,표지판형,36.4014282,127.3803394
대전광역시,유성구,호텔ICC,운송주차과,대전광역시 유성구 엑스포로123번길 59 ,표지판형,36.3764696,127.3937665
대전광역시,유성구,샘물타운아파트 상가,운송주차과,대전광역시 유성구 진잠로42번길 116 ,표지판형,36.2970421,127.31975
대전광역시,유성구,진잠타운아파트 입구/상가,운송주차과,대전광역시 유성구 진잠로42번길 86 ,표지판형,36.2970421,127.31975
대전광역시,유성구,자운대,운송주차과,대전광역시 유성구 자운로157번길 111 ,표지판형,36.4083015,127.339041
대전광역시,유성구,신종수소아과,운송주차과,대전광역시 유성구 엑스포로 473 ,표지판형,36.3986085,127.4045631
대전광역시,유성구,전민중,운송주차과,대전광역시 유성구 엑스포로 502 ,표지판형,36.3894076,127.3993199
대전광역시,유성구,빽다방,운송주차과,대전광역시 유성구 유성대로 1736 ,표지판형,36.3618968,127.353097
대전광역시,유성구,롯데마트 테크노밸리점,운송주차과,대전광역시 유성구 관평1로 5 ,표지판형,36.4237303,127.390477
대전광역시,대덕구,한마음아파트,운송주차과,대전광역시 대덕구 계족로664번길 27 ,표지판형,36.3711204,127.4314403
대전광역시,대덕구,신대동 주공아파트 한우리축산물,운송주차과,대전광역시 대덕구 신탄진로 217 ,표지판형,36.39985720000001,127.4217813
대전광역시,대덕구,다인치과,운송주차과,대전광역시 대덕구 신탄진로 838 ,표지판형,36.452228,127.4290012
대전광역시,대덕구,석봉네거리,운송주차과,대전광역시 대덕구 대덕대로 1537 ,표지판형,36.4469908,127.4127851
대전광역시,동구,복합터미널/롯데리아,운송주차과,대전광역시 동구 동서대로1695번길 46 ,쉘터형,36.3520871,127.4374283
대전광역시,동구,복합터미널/서관,운송주차과,대전광역시 동구 동서대로1695번길 11 ,쉘터형,36.3520871,127.4374283
대전광역시,동구,대전역 동광장,운송주차과,대전광역시 동구 중앙로 247 ,쉘터형,36.3261113,127.4182059
대전광역시,중구,중앙로역 6번출구/NC백화점,운송주차과,대전광역시 중구 중앙로 139 ,쉘터형,36.328625,127.425016
대전광역시,중구,대전세무서,운송주차과,대전광역시 중구 보문로 327 ,쉘터형,36.3310244,127.4184966
대전광역시,중구,선병원,운송주차과,대전광역시 중구 목중로 27 ,쉘터형,36.33725440000001,127.4095089
대전광역시,중구,서대전역,운송주차과,대전광역시 중구 오류로 23 ,쉘터형,36.3250875,127.4022287
대전광역시,중구,대전서남부터미널,운송주차과,대전광역시 중구 유등천동로 346 ,쉘터형,36.3125633,127.3882436
대전광역시,중구,대전동물원,운송주차과,대전광역시 중구 사정공원로 78 ,쉘터형,36.2966537,127.3963548
대전광역시,서구,예술의전당,운송주차과,대전광역시 서구 둔산대로 155 ,쉘터형,36.3679309,127.3877917
대전광역시,서구,누리아파트 정문/신한은행,운송주차과,대전광역시 서구 청사로 68 ,쉘터형,36.3602829,127.3818497
대전광역시,서구,선사클리닉,운송주차과,대전광역시 서구 청사로 119 ,쉘터형,36.3602829,127.3818497
대전광역시,서구,청사시외버스정류소,운송주차과,대전광역시 서구 대덕대로 318 ,쉘터형,36.3533456,127.3770294
대전광역시,서구,국민은행 선사지점,운송주차과,대전광역시 서구 대덕대로 296 ,쉘터형,36.3533456,127.3770294
대전광역시,서구,고속버스 둔산정류장,운송주차과,대전광역시 서구 청사로 253 꿈나무아파트204동 앞,복합,36.3602108,127.3918286
대전광역시,서구,사학연금회관,운송주차과,대전광역시 서구 한밭대로 809 ,쉘터형,36.3583027,127.3889139
대전광역시,서구,이마트 둔산점,운송주차과,대전광역시 서구 대덕대로 263 ,쉘터형,36.3533456,127.3770294
대전광역시,서구,아모레퍼시픽 대전지점,운송주차과,대전광역시 서구 대덕대로 245 ,쉘터형,36.3533456,127.3770294
대전광역시,서구,타임월드,운송주차과,대전광역시 서구 대덕대로 211 ,쉘터형,36.352343,127.3785451
대전광역시,서구,타임월드 맞은편,운송주차과,대전광역시 서구 대덕대로 216 ,쉘터형,36.35185269999999,127.3794192
대전광역시,서구,대전광역시청/의회,운송주차과,대전광역시 서구 둔산서로 38 ,쉘터형,36.3539864,127.3827309
대전광역시,서구,오페라웨딩홀/서쪽,운송주차과,대전광역시 서구 둔산서로 14 ,쉘터형,36.3539864,127.3827309
대전광역시,서구,목련아파트 SC제일은행,운송주차과,대전광역시 서구 문예로 39 ,쉘터형,36.3502614,127.3898354
대전광역시,서구,세이브존,운송주차과,대전광역시 서구 문정로 198 ,쉘터형,36.3503602,127.3902273
대전광역시,서구,"홈플러스 탄방점 맞은편, 교원공제회관",운송주차과,대전광역시 서구 둔산중로 10 ,쉘터형,36.3527442,127.3866967
대전광역시,서구,홈플러스 탄방점,운송주차과,대전광역시 서구 둔산중로 5 ,쉘터형,36.3527442,127.3866967
대전광역시,서구,보라매공원 운전자쉼터,운송주차과,대전광역시 서구 문정로48번길 66 ,쉘터형,36.3449499,127.3842533
대전광역시,서구,롯데백화점,운송주차과,대전광역시 서구 계룡로 598 ,쉘터형,36.3406287,127.3895615
대전광역시,서구,정림이비인후과,운송주차과,대전광역시 서구 계백로 1280 ,쉘터형,36.3075189,127.3651007
대전광역시,유성구,열매마을5단지 입구,운송주차과,대전광역시 유성구 은구비로 33 ,쉘터형,36.375202,127.3204806
대전광역시,유성구,노은역4번 출구,운송주차과,대전광역시 유성구 노은로 158 ,쉘터형,36.3736598,127.3184179
대전광역시,유성구,대전월드컵경기장 입구,운송주차과,대전광역시 유성구 월드컵대로 30 ,쉘터형,36.3546132,127.3308573
대전광역시,유성구,舊리베라호텔,운송주차과,대전광역시 유성구 온천서로 9 ,쉘터형,36.3578978,127.3399162
대전광역시,유성구,현대리조텔,운송주차과,대전광역시 유성구 대학로 27 ,쉘터형,36.35631,127.3417812
대전광역시,유성구,홍인오피스텔,운송주차과,대전광역시 유성구 대학로 30 ,쉘터형,36.365491,127.3542468
대전광역시,유성구,홈플러스 유성점,운송주차과,대전광역시 유성구 온천동로 99 ,쉘터형,36.3548625,127.350447
대전광역시,유성구,대전컨벤션센터 북쪽,운송주차과,대전광역시 유성구 엑스포로123번길 27-29 ,쉘터형,36.3762072,127.3926662
대전광역시,유성구,현대아울렛1,운송주차과,대전광역시 유성구 테크노중앙로 123,쉘터형,36.423909,127.3986901
대전광역시,유성구,현대아울렛2,운송주차과,대전광역시 유성구 테크노중앙로 123,쉘터형,36.423909,127.3986901
대전광역시,대덕구,근로복지공단 대전병원,운송주차과,대전광역시 대덕구 계족로 631 ,쉘터형,36.3688056,127.4295458
대전광역시,대덕구,보람코아 앞,운송주차과,대전광역시 대덕구 동춘당로 176 ,쉘터형,36.3653159,127.4385617
대전광역시,대덕구,신탄진 롯데리아,운송주차과,대전광역시 대덕구 신탄진로 818 ,쉘터형,36.4503788,127.4292647
대전광역시,대덕구,신탄진역,운송주차과,대전광역시 대덕구 신탄진로 809 ,쉘터형,36.4499663,127.428829
